,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.92,0.66,0.8098174603174603,0.84,0.8167797827503749
forward_negation,0.91,0.69,0.8273611111111111,0.85,0.8330088311665408
backward_negation,0.93,0.66,0.8015515873015873,0.8333333333333335,0.8104255812241498
forward_randomized_order,0.91,0.52,0.6830238095238096,0.7466666666666666,0.7013418880701816
backward_randomized_order,0.95,0.36,0.690376984126984,0.68,0.6683568175452678
forward_all,0.97,0.56,0.7108571428571429,0.7666666666666666,0.7263895070046883
backward_all,0.95,0.45,0.6994880952380952,0.7133333333333333,0.6927194547064214
direction,0.91,0.67,0.814861111111111,0.8366666666666666,0.820151688309398
all,0.96,0.66,0.7970555555555556,0.8333333333333333,0.8069159245306475
